Quarter,GDP,Brent,Gasoline,CPI,Energy_CPI,Brent_pct,Gas_pct,CPI_inf,Energy_inf,GDP_growth
1993-Q3,10688.606,16.494487734487734,1.06295,144.76666666666668,103.26666666666667,-0.09759545725406149,-0.02649855753819841,0.004626416840157521,-0.01053976365378484,0.00477154822775705
1993-Q4,10833.987,15.176248196248196,1.0573833333333333,145.96666666666667,104.46666666666667,-0.07992000475912198,-0.005236997663734644,0.00828920101312458,0.01162040025823119,0.01360149302911906
1994-Q1,10939.116,13.972036231884058,1.00505,146.7,103.73333333333333,-0.07934846272887375,-0.04949324590577364,0.005023978077186575,-0.007019783024888371,0.00970362988251705
1994-Q2,11087.361,16.06092025518341,1.0508833333333334,147.53333333333333,103.2,0.1495046239955018,0.04560303799147647,0.00568052715291989,-0.005141388174807138,0.013551826308451309
1994-Q3,11152.176,16.79575036075036,1.1347666666666667,148.9,105.76666666666667,0.04575267754846091,0.07982173726864694,0.009263443289652118,0.024870801033591627,0.005845845553328566
1994-Q4,11279.932,16.53794660894661,1.1066166666666668,149.76666666666668,105.9,-0.015349344105888174,-0.024806861909937306,0.005820461159615098,0.0012606366214940046,0.011455701559946796
1995-Q1,11319.951,16.890975500345064,1.0754333333333335,150.86666666666667,105.66666666666667,0.021346597600422568,-0.028178983990240547,0.007344758513242677,-0.002203336480956941,0.003547805075420518
1995-Q2,11353.721,18.103989898989898,1.1603833333333333,152.1,106.03333333333333,0.07181434835543121,0.0789914143136099,0.008174988952717621,0.0034700315457412145,0.00298322846097121
1995-Q3,11450.31,16.216724386724387,1.1292666666666666,152.86666666666667,105.16666666666666,-0.10424583325528758,-0.026815851083693665,0.00504054350208194,-0.008173530336372248,0.008507255022384363
1995-Q4,11528.067,16.965693779904306,1.0735666666666666,153.7,104.06666666666668,0.04618499860508529,-0.0493240451030168,0.005451373746183874,-0.010459587955625849,0.006790820510536255
1996-Q1,11614.418,18.568044733044733,1.10555,155.06666666666666,107.43333333333334,0.09444653274588721,0.02979166019809365,0.008891780524832082,0.032351057014734064,0.007490501226268043
1996-Q2,11808.14,19.503920634920636,1.2557,156.4,111.16666666666667,0.050402501465884875,0.13581475283795386,0.008598452278590019,0.034750232702451145,0.016679441018912833
1996-Q3,11914.063,20.904575569358176,1.212,157.29999999999998,109.86666666666666,0.0718140193787371,-0.03480130604443743,0.0057544757033247684,-0.01169415292353837,0.008970337411311258
1996-Q4,12037.775,23.56837750172533,1.2238166666666668,158.66666666666666,112.06666666666666,0.1274267407883536,0.009749724972497376,0.008688281415554222,0.020024271844660158,0.010383695301930063
1997-Q1,12115.472,21.173715121136173,1.2237500000000001,159.63333333333333,114.4,-0.10160488902614762,-5.447439022732148e-5,0.006092436974789894,0.020820939916716297,0.0064544319859773935
1997-Q2,12317.221,18.052922077922076,1.19895,160,109.93333333333334,-0.14738996087176204,-0.020265577119509826,0.002296930465650604,-0.03904428904428903,0.01665217830555843
1997-Q3,12471.01,18.50698412698413,1.2097166666666668,160.8,110.8,0.02515172043075231,0.008980079792040296,0.0050000000000001155,0.007883565797452974,0.012485689750959317
1997-Q4,12577.495,18.7404442265083,1.1663,161.66666666666666,111,0.012614702531882127,-0.03588994668173007,0.005389718076285188,0.0018050541516245744,0.008538602727445443
1998-Q1,12703.742,14.119782828282828,1.0506833333333334,162,105.3,-0.24656093219442254,-0.09913115550601603,0.0020618556701030855,-0.05135135135135138,0.010037531320823412
1998-Q2,12821.339,13.365340510366826,1.0527166666666667,162.53333333333333,103.06666666666666,-0.053431580860068606,0.001935248489078445,0.003292181069958877,-0.021209243431465685,0.009256878799962953
1998-Q3,12982.752,12.445733860342555,1.0301666666666667,163.36666666666667,102.23333333333333,-0.06880532892603652,-0.02142076848788066,0.005127153404429929,-0.008085381630012933,0.01258940271371034
1998-Q4,13191.67,11.188535353535354,0.9863833333333333,164.13333333333333,100.89999999999999,-0.1010144135263229,-0.04250121339589075,0.004692919812283147,-0.01304206064558211,0.01609196570958149
1999-Q1,13315.597,11.299127765064837,0.9471666666666667,164.73333333333332,99.76666666666667,0.009884440459361654,-0.039758038625956726,0.0036555645816409577,-0.01123224314502802,0.009394337487217186
1999-Q2,13426.748,15.460981658692186,1.1252833333333334,165.96666666666667,104.96666666666667,0.36833408561810943,0.18805208516628547,0.0074868474301903465,0.05212161710658214,0.008347428958686454
1999-Q3,13604.771,20.614076479076477,1.2112666666666667,167.2,109.33333333333333,0.3332967423505877,0.07641038553253243,0.007431211086563527,0.0416005080978088,0.013258832295057754
1999-Q4,13827.98,24.0198765854029,1.2560500000000001,168.43333333333334,112.43333333333334,0.16521720532973427,0.036972315482415086,0.007376395534290259,0.028353658536585336,0.016406670865683814
2000-Q1,13878.147,26.92426708074534,1.3940166666666667,170.1,119.36666666666666,0.1209161289824221,0.10984169950771583,0.009895111814763435,0.061666172546694265,0.0036279340872638066
2000-Q2,14130.908,26.765839345839346,1.5282666666666667,171.43333333333334,122.56666666666666,-0.00588419860904188,0.09630444399277871,0.00783852635704485,0.02680815414688631,0.01821287813135264
2000-Q3,14145.312,30.6744099378882,1.5219166666666668,173,126.76666666666667,0.14602832145655942,-0.004155034025475346,0.009138635037915677,0.03426706554256187,0.0010193258635609048
2000-Q4,14229.765,29.72439393939394,1.4974,174.23333333333332,129.63333333333333,-0.030970962454303752,-0.01610907298910369,0.007129094412331227,0.022613726005784818,0.005970387927816567
2001-Q1,14183.12,25.87510606060606,1.4354,175.9,133.6,-0.12949928892196494,-0.04140510217710702,0.009565716472163865,0.0305991257392646,-0.0032779880764016722
2001-Q2,14271.694,27.27327561327561,1.6232,177.13333333333333,135.86666666666667,0.05403531677878659,0.1308346105615159,0.0070115595982565004,0.016966067864271572,0.00624502930243831
